Identifier,Archive Location,Publication Year,ARCGIS_Year,Heb_year,Original_Cal_Type,Author,Title,English_Title,Press,Press Adress,Place,Longitude,Latitude,Accurate,Language_Code,Book_URL,Notes,Thumbnail_Name,Thumbnail_Wiki_URL,Thumbnail_ImageURL,Wiki_URL,WorldCat_Genre,WorldCat_Subject_Tags,WorldCat_Description,WorldCat_Notes,Reason_skipped_subjectTag,Date_Added,Data_Mod,Pages,Rights,MARC2_Tags,Translator,OCLC_Number,Provenance
222,BC 1077,1909,1/1/09,,,"Genasiyah, Yosef Ben David",Ben David agadot ha-Talmud,Ben David Agadot of the Talmud,Kastro & Friends Press,,Tunis,36.8064948,10.1815316,,jrb,,,,,,,,Talmud; Commentaries; Aggada,,,,,,,,,,,
248,RE 0051,1934,1/1/34,,,"Houri, Jacob",Bene Yaakov ...musarim,Benei Yaakov,Yaakov Hadad Press,,Djerba,33.8787981,10.850791,,jrb,,,,,,,,Jewish; ethics,,,,,,,,,,,
193,RE 0055-0056,1925,1/1/25,,,"Cohen, Shalom","Berakhah ve-shalom ... be-mah she-ben ha-ish le-ishto li-veno, le-vito,li-kerovav, li-shekhenav ... ve-sefer Darkhe shalom, tarjemat sefer sefer Berakhah ve-shalom","Berakha veshalom: regarding that between a man and his wife, his sons, daughter, close family, neighbors and Sefer Darkhei Shalom translation of the Sefer Berakha veShalom",David Aydan & Co. Press,,Djerba,33.8787981,10.850791,,jrb,,,,,,,,Jewish; ethics,,,,,,,,,,,
104,RT 0111-0113,1898,01/01/1898,,,,"Bigde shesh [helek rishon] ve-kholel Ets Avot, Arve nahal",,Shelomoh Bilforti & Friends Press,,Livorno,43.548473,10.3105674,,jrb,,,,,,,,Mishnah; Avot; Commentaries,,,,,,,,,,,
161,JA 0071,1892,01/01/1892,,,"Bekache, Chalum",Boneh Yerushalayim,Boneh Yerushalayim,"Shalom Bekash Press (1 Rue Solf_rino 1, Algiers)",1 Rue Solf_rino Alger,Algiers,36.6997294,3.0576199,,jrb,https://drive.google.com/open?id=1uNAN3f4KGKVlwhbcJlFDGUw63IvvAdL7,,,,,,,,,,,,,,,,,,
257,JA 0237-0238,1893,01/01/1893,,,"Laredo, Avraham",Dat Yehudit ...dinim be-lashon Arvi,Dat Yehudit: Laws in Arabic,Yaakov Guedj Press,,Algiers,36.6997294,3.0576199,,jrb,https://drive.google.com/open?id=1-Qy4dJ3m6_wLXRZEbMHGTApdywDlg32y,,,,,,,,,,,,,,,,,,
137,JA 0127,1967,1/1/67,,,,Derush : li-menuhat ... Yehudah ben Zeevi G anah,,Hai Haddad Press,,Djerba,33.8787981,10.850791,,jrb,https://drive.google.com/open?id=12sQPeC2epmOoZODocl9eCwMItB0uQ6ue,,,,,,,Judeo-Arabic; literature; Jewish; sermons,,,,,,,,,,,
138,JA 0127,1967,1/1/67,,,,Derush li-menuhat ... Yehudah ben Zeevi G anah,,Hai Haddad Press,,Djerba,33.8787981,10.850791,,jrb,https://drive.google.com/open?id=12sQPeC2epmOoZODocl9eCwMItB0uQ6ue,,JA0001-0002,,https://drive.google.com/open?id=1-sxp60nNoLEQ9WIDeWE1XKJx_a4ub_pN,,,Judeo-Arabic; literature; Jewish; sermons,,,,,,,,,,,
8,JA 0095,,01/01/1800,,,,Dine shehitah bil-Arabi,Shehitah laws in Arabic,Makhlouf Nadjar Press,,Sousse,35.8245029,10.634584,,jrb,https://drive.google.com/open?id=1ind9nbbCOfhxvesPlTJqmtWpE64e-ZgQ,,JA0003,,https://drive.google.com/open?id=16ivbsYgAfrlYDp2SB2waScaPOMBWgq_9,,,Jews; Dietary; laws; Judeo-Arabic; language; Texts,,,,,,,,,,,
228,JA 0123-0125,1960,1/1/60,,,"Genasiyah, Yosef Ben David",Doresh tov ... ve-hu sefer ha-derushim ... al-parashiyot ... ha-Torah ... min sefer Mekor Barukh le ... Barukh Faitusi,,Hai Haddad Press,,Djerba,33.8787981,10.850791,,jrb,https://drive.google.com/open?id=1P_IXajr9xfaHi2XSKTioxFj02bbdsioM,,JA0005,,https://drive.google.com/open?id=1_VKcrAMPblFtaE0HkRclHR9n-F7PIocL,,,Bible; Pentateuch; Commentaries; Judeo-Arabic; literature ,,,,,,,,,,,
